category,name,model,contidition,price,stock
4WD TRACTOR,2021 CASE IH 580 QUAD TRAC,580 QUAD TRAC,Used,"$ 488,500 USD",3074398
4WD TRACTOR,2021 NEW HOLLAND T9700,T9700,Used,"$ 471,700 USD",3005020
4WD TRACTOR,2020 CASE IH STX620,STX620,Used,"$ 449,500 ",3068312
COMBINE,2021 CASE IH 7250,7250,Used,"$ 448,700 USD",3086964
4WD TRACTOR,2020 CASE IH 500 ROW TRAC,500 ROW TRAC,Used,"$ 442,020 USD",3077000
COMBINE,2021 CASE IH 8250,8250,Used,"$ 424,000 USD",3076548
COMBINE,2020 JOHN DEERE S780,S780,Used,"$ 390,080 USD",3014295
COMBINE,2019 JOHN DEERE S780,S780,Used,"$ 386,900 USD",3007781
COMBINE,2019 JOHN DEERE S780,S780,Used,"$ 386,900 USD",3007752
COMBINE,2019 CASE IH 8250,8250,Used,"$ 385,000 USD",2901874
4WD TRACTOR,2018 CASE IH 500 QUAD,500 QUAD,Used,"$ 374,710 USD",3085754
COMBINE,2021 CASE IH 8250,8250,Used,"$ 371,000 ",3086663
COMBINE,2019 CASE IH 7250,7250,Used,"$ 367,500 USD",3071353
4WD TRACTOR,2021 CASE IH 420,420,Used,"$ 364,915 USD",3076538
COMBINE,2021 CASE IH 8250,8250,Used,"$ 359,900 USD",3029263
SPRAYER- SELF PROPELLED,2021 CASE IH 4440,4440,Used,"$ 359,900 USD",2984113
COMBINE,2019 CASE IH 7250,7250,Used,"$ 357,500 USD",3080452
4WD TRACTOR,2021 CASE IH 420,420,Used,"$ 355,100 USD",3076540
4WD TRACTOR,2021 CASE IH 420,420,Used,"$ 354,994 USD",2958541
COMBINE,2020 CASE IH 8250,8250,Used,"$ 352,980 USD",2906176
4WD TRACTOR,2018 NEW HOLLAND T9600,T9600,Used,"$ 349,000 USD",2956873
COMBINE,2021 CASE IH 8250,8250,Used,"$ 345,560 USD",3076672
COMBINE,2021 CASE IH 8250,8250,Used,"$ 345,560 USD",3076674
SPRAYER- SELF PROPELLED,2020 ROGATOR RG1300,RG1300,Used,"$ 345,000 USD",3083289
SPRAYER- SELF PROPELLED,2020 CASE IH 4440,4440,Used,"$ 344,900 USD",2984111
COMBINE,2021 CASE IH 8250,8250,Used,"$ 344,500 ",3086631
COMBINE,2021 CASE IH 8250,8250,Used,"$ 343,440 USD",3076671
COMBINE,2021 CASE IH 8250,8250,Used,"$ 343,440 USD",3076670
COMBINE,2021 CASE IH 8250,8250,Used,"$ 342,380 USD",3076673
COMBINE,2021 CASE IH 8250,8250,Used,"$ 339,900 USD",3029257
4WD TRACTOR,2017 CASE IH 500 QUAD,500 QUAD,Used,"$ 339,900 USD",3083882
COMBINE,2019 JOHN DEERE S780,S780,Used,"$ 339,094 USD",2897495
4WD TRACTOR,2018 CASE IH 470 QUAD TRAC,470 QUAD TRAC,Used,"$ 337,080 USD",2872331
COMBINE,2020 CASE IH 8250,8250,Used,"$ 335,000 USD",2952307
COMBINE,2020 CASE IH 8250,8250,Used,"$ 334,960 USD",3012714
COMBINE,2019 CASE IH 7250,7250,Used,"$ 334,500 USD",3076676
COMBINE,2021 CASE IH 8250,8250,Used,"$ 327,540 USD",3076669
COMBINE,2020 CASE IH 8250,8250,Offers available,"$ 327,540 USD",2906177
4WD TRACTOR,2015 CASE IH 620 QUAD TRAC,620 QUAD TRAC,Used,"$ 325,950 USD",3080511
4WD TRACTOR,2018 CASE IH STX620,STX620,Used,"$ 323,300 ",3068358
4WD TRACTOR,2018 CASE IH STX620,STX620,Used,"$ 322,240 ",3068357
COMBINE,2019 CASE IH 8250,8250,Used,"$ 319,900 USD",3003622
4WD TRACTOR,2017 CASE IH 540 QUADTRAC,540 QUADTRAC,Used,"$ 319,590 USD",3075090
2WD &amp; MFWD TRACTOR,2020 CASE IH 340,340,Used,"$ 316,940 USD",3073666
SPRAYER- SELF PROPELLED,2018 CASE IH 5550,5550,Used,"$ 314,820 USD",2987923
4WD TRACTOR,2019 CASE IH 420 ROW TRAC,420 ROW TRAC,Used,"$ 312,700 USD",3070520
COMBINE,2020 CASE IH 6150,6150,Used,"$ 310,580 USD",3024951
4WD TRACTOR,2018 CASE IH 470 QUAD TRAC,470 QUAD TRAC,Used,"$ 304,220 USD",2872316
COMBINE,2019 CASE IH 8250,8250,Offers available,"$ 299,980 USD",2941737
SPRAYER- SELF PROPELLED,2018 MILLER 7310,7310,Used,"$ 295,000 USD",2980993
COMBINE,2019 CASE IH 8250,8250,Used,"$ 294,900 USD",2782706
COMBINE,2018 NEW HOLLAND CR890,CR890,Used,"$ 294,890 USD",2888565
COMBINE,2019 CASE IH 8250,8250,Used,"$ 294,680 USD",3034824
2WD &amp; MFWD TRACTOR,2020 CATERPILLAR MT738,MT738,Used,"$ 292,109 USD",3078743
2WD &amp; MFWD TRACTOR,2020 CATERPILLAR MT738,MT738,Used,"$ 290,440 USD",3078758
2WD &amp; MFWD TRACTOR,2021 CASE IH 310,310,Used,"$ 288,000 USD",3070506
4WD TRACTOR,2015 CASE IH 620 QUAD TRAC,620 QUAD TRAC,Used,"$ 285,500 USD",2493377
4WD TRACTOR,2014 CASE IH 470,470,Used,"$ 284,950 ",3068327
2WD &amp; MFWD TRACTOR,CASE IH 380 CVT,380 CVT,Used,"$ 279,900 USD",3071470
4WD TRACTOR,2017 CASE IH 540,540,Used,"$ 279,840 USD",2961647
COMBINE,2019 CASE IH 8250,8250,Used,"$ 279,400 USD",2734472
